epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,330.27,1.32593,2.98523,0.90729,0.00461,0.86192,0.01006,0.00523,1.07447,3.67539,0.83625,0.000648649,0.000648649,0.000648649
2,619.167,1.22154,1.6458,0.87382,0.81332,0.11297,0.43549,0.23871,1.01132,3.19269,0.842,0.00129904,0.00129904,0.00129904
3,966.757,1.20114,1.43962,0.87924,0.98681,0.62591,0.83213,0.55007,1.08314,2.11671,0.8676,0.00193293,0.00193293,0.00193293
4,1221.85,1.1952,1.29441,0.86775,0.9344,0.68201,0.80566,0.5659,1.0882,1.44073,0.87692,0.00192575,0.00192575,0.00192575
5,1531.95,1.11354,1.05746,0.8656,0.89877,0.81725,0.916,0.65502,0.92257,0.96084,0.84661,0.001901,0.001901,0.001901
6,1767.84,1.04192,0.8929,0.86753,0.94888,0.85434,0.93,0.66476,0.9017,0.90689,0.8388,0.00187625,0.00187625,0.00187625
7,2076.6,1.0716,0.86235,0.84948,0.95459,0.84937,0.92059,0.699,0.82985,0.76363,0.828,0.0018515,0.0018515,0.0018515
8,2469.22,1.01364,0.77386,0.84897,0.95963,0.85356,0.9524,0.72194,0.76847,0.70951,0.81463,0.00182675,0.00182675,0.00182675
9,3125.62,1.00669,0.75414,0.8477,0.91437,0.89357,0.94894,0.68865,0.85362,0.68931,0.82883,0.001802,0.001802,0.001802
10,3490.55,0.99838,0.73378,0.85084,0.92356,0.88285,0.95634,0.73109,0.82355,0.63663,0.82287,0.00177725,0.00177725,0.00177725
11,3892.49,1.00979,0.73095,0.85637,0.94246,0.93305,0.9693,0.73506,0.81634,0.59414,0.83068,0.0017525,0.0017525,0.0017525
12,4282.81,0.94264,0.66586,0.83182,0.92994,0.94414,0.97024,0.74117,0.75027,0.565,0.81979,0.00172775,0.00172775,0.00172775
13,4680.94,0.93755,0.63334,0.83692,0.94081,0.931,0.96639,0.73761,0.74466,0.58084,0.81608,0.001703,0.001703,0.001703
14,5056.73,0.93033,0.62219,0.8347,0.9462,0.91213,0.96883,0.76193,0.72137,0.52338,0.81425,0.00167825,0.00167825,0.00167825
15,5276.4,0.91796,0.61713,0.82116,0.94439,0.92367,0.96308,0.77029,0.72524,0.50932,0.81173,0.0016535,0.0016535,0.0016535
16,5468.43,0.87106,0.58682,0.82235,0.94468,0.95397,0.97599,0.77102,0.73369,0.50051,0.8175,0.00162875,0.00162875,0.00162875
17,5655.88,0.89432,0.59572,0.83472,0.96898,0.91481,0.96655,0.75407,0.70847,0.49863,0.8125,0.001604,0.001604,0.001604
18,5845.61,0.84933,0.5812,0.82524,0.94516,0.90795,0.96588,0.75853,0.74161,0.53731,0.81218,0.00157925,0.00157925,0.00157925
19,6029.81,0.87943,0.56509,0.83157,0.96121,0.89958,0.96823,0.73804,0.76934,0.50246,0.82047,0.0015545,0.0015545,0.0015545
